title,company,expirence,salary,location,skill,date
"Data Analyst II, Tech",Uber,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'Data analysis', 'Analytical', 'MySQL', 'Debugging', 'Data quality', 'Troubleshooting', 'Quality analysis']",11 DAYS AGO
SQL Data Analyst - Data Warehousing,Harmony Data Integration Technologies,2-6 Yrs,Not disclosed,Chandigarh,"['Data Warehousing', 'Data Marts', 'SQL', 'Google Cloud', 'SQL Query', 'communication', 'Java', 'Data Warehouse']",7 DAYS AGO
Opportunity For the position of Data Analyst,Ampersand Group,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,"['MIS', 'Data Analysis', 'Advanced Excel']",6 DAYS AGO
Hiring MIS/Data Analyst,NIIT,3-8 Yrs,"2,00,000 - 4,50,000 PA.","Noida, New Delhi, Faridabad, Gurgaon/Gurugram, Delhi / NCR
(WFH during Covid)","['Advanced Excel', 'MIS Executive', 'Business Analyst', 'Power BI', 'MIS', 'Data Management', 'VBA expert', 'Data Analysis']",6 DAYS AGO
Executive Data Analyst,Baggit,4-5 Yrs,Not disclosed,Mumbai,"['Tableau or similar tools', 'Power BI', 'MySQL', 'QlikView etc... tool for dashboard design', 'Data Warehouse / Data Mart', 'R / Python', 'SQL']",7 DAYS AGO
Internship - Data Analyst,SKILLLABS RESOURCE SERVICES Pvt Ltd,0-0 Yrs,Not disclosed,Chandigarh,"['Customer Relationship', 'Customer Service', 'Sales', 'Opportunity Assessment', 'Data Analysis', 'Dashboards', 'CRM']",13 DAYS AGO
Senior Data Analyst,AQGROMALIN FARMTECH SERVICES PRIVATE LIMITED,5-10 Yrs,Not disclosed,Chennai,"['Computer science', 'SAN', 'Data analysis', 'PDF', 'Coding', 'SMS', 'Data Analyst', 'Analytics']",3 DAYS AGO
Sr Data Analyst,Ingram Micro,6-11 Yrs,Not disclosed,Mumbai,"['IT Skills', 'Python', 'Power BI', 'Text mining', 'Data analysis', 'Operations research', 'SAS', 'Business analysis']",7 DAYS AGO
Sr Data Analyst,Ingram Micro,6-11 Yrs,Not disclosed,Chennai,"['IT Skills', 'Python', 'Power BI', 'Text mining', 'Data analysis', 'Operations research', 'SAS', 'Business analysis']",7 DAYS AGO
Senior Data Analyst | Advance Auto Parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Google Analytics', 'Tealium']",6 DAYS AGO
Data Analyst,Multi Recruit,2-5 Yrs,"9,00,000 - 9,50,000 PA.",Bangalore/Bengaluru,"['Google Data Studio', 'Big Query', 'Power BI', 'Data Analyst', 'Tableau', 'SQL']",
Data Analyst - Database Management,BK TALENT LEASE CONSULTING,3-6 Yrs,"3,00,000 - 7,00,000 PA.","Gurgaon/Gurugram, Delhi / NCR","['python', 'data management', 'pyspark', 'idea generation', 'data quality', 'data analysis', 'data modeling', 'etl']",
Data Analyst Collection Analytics Mumbai NSE BSE Listed NBFC,hCapital Business Consulting Private Limited,4-9 Yrs,Not disclosed,Mumbai (All Areas),"['Collection Analytics', 'R', 'Risk Analytics', 'Machine learning', 'predictive', 'visualization tools', 'diagnostic', 'Statistical Modelling']",
Data Analyst - Python Modeling/Tableau (7+ years) - Bangalore,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['python', 'data analysis', 'predictive modeling', 'global delivery', 'data analytics', 'data management', 'data science', 'aws']",3 DAYS AGO
Hiring For Data Analyst from 1 yr of exp in Bangalore Location,PROMANTUS INDIA PRIVATE LIMITED,1-5 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","['Microsoft PowerPoint', 'Communication', 'Oracle', 'Tableau', 'Python', 'Microsoft SQL Server', 'SAS', 'analytical']",4 DAYS AGO
Commercial Data Analyst,Securitas,6-10 Yrs,"15,00,000 - 18,00,000 PA.",Gurgaon/Gurugram,"['BI Automate', 'Automation', 'Microsoft 365', 'data analytics', 'Power Bi', 'VBA', 'Data Management', 'Automation Projetcs']",14 DAYS AGO
Senior Data Analyst For a reputed E-Commerce Company at Bangalore,Yellow Box HR Services Pvt. Ltd.,3-7 Yrs,"10,00,000 - 12,00,000 PA.",Bangalore/Bengaluru,"['R', 'python', 'data analysis', 'PowerBI', 'Data Management', 'power BI', 'Data Analytics', 'dashboard']",15 DAYS AGO
Senior Data Analyst For a reputed E-Commerce Company at Bangalore,Yellow Box HR Services Pvt. Ltd.,3-7 Yrs,"10,00,000 - 17,00,000 PA.",Bangalore/Bengaluru,"['R', 'python', 'data analysis', 'PowerBI', 'Data Management', 'power BI', 'Data Analytics', 'dashboard']",15 DAYS AGO
Data Analyst,Findability Sciences,3-8 Yrs,Not disclosed,"Aurangabad, Mumbai (All Areas)","['data science', 'Natural Language Processing', 'deep learning', 'Data Structure', 'Python', 'Machine Learning', 'learning', 'predictive modeling']",6 DAYS AGO
Data Analyst,CarePro Global,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Anlalytics', 'data mining', 'sql', 'Redshift', 'Python', 'Tableau', 'PowerBi', 'R']",13 DAYS AGO
Data Analyst,HUDSON'S BAY SERVICES PRIVATE LIMITED,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,"['analytics', 'python', 'r', 'data analysis', 'data science', 'luxury', 'machine learning', 'merchandising']",4 DAYS AGO
Hiring Data Analyst with 3 To 5 years experience-Artificial Intel/Mach,DXC Technology,3-6 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru
(WFH during Covid)","['Power Bi', 'machine learning', 'artificial intelligence', 'IT Skills', 'Python', 'Testing', 'Oracle', 'Tableau']",5 DAYS AGO
Data Analyst,Bauer Corporate Services Pvt Ltd,3-5 Yrs,Not disclosed,Mumbai Suburban,"['Data Science', 'data analysis', 'Microsoft Power Bi', 'Microsoft Azure', 'Data Analytics', 'Python', 'SQL', 'Mathematical Analysis']",6 DAYS AGO
Data Analyst,Equitas Small Finance Bank,1-5 Yrs,"2,00,000 - 6,00,000 PA.",Bangalore/Bengaluru,"['data analysis', 'written communication', 'communication skills', 'problem solving', 'data maintenance', 'data collection', 'ms office']",13 DAYS AGO
Data Analyst,Equitas Small Finance Bank,1-5 Yrs,"2,00,000 - 6,00,000 PA.",Bangalore/Bengaluru,"['data analysis', 'written communication', 'communication skills', 'problem solving', 'data maintenance', 'data collection', 'ms office']",13 DAYS AGO
Data Analyst,Diverse Lynx,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['SQL', 'assurance', 'IT Skills', 'Quality Assurance', 'metadata', 'Manager Quality Assurance', 'Data Analyst', 'Management']",13 DAYS AGO
Data Analyst,Travel Centric Technology,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,"['Agile', 'Data Mapping', 'written communications', 'Data Analysis', 'SQL', 'verbal', 'Excel', 'Interpersonal skills']",4 DAYS AGO
Data Analyst,T & A Solutions,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'MS SQL', 'Helpdesk', 'Analytical', 'SSRS', 'Programming', 'Data Analyst', 'Data quality']",4 DAYS AGO
Data Analyst,Felurian Technology Private Limited,1-3 Yrs,"9,00,000 - 13,00,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru","['business analysis', 'power bi', 'sql', 'excel', 'data analysis', 'data reporting', 'advance excel']",4 DAYS AGO
Social Hiring Event For Women in Technology @Jio- Data Analyst,Jio,3-8 Yrs,"5,00,000 - 15,00,000 PA.","Navi Mumbai, Bangalore/Bengaluru",['data analysis'],5 DAYS AGO
Social Hiring Event For Women in Technology @Jio - Data Analyst,Jio,5-10 Yrs,"8,00,000 - 18,00,000 PA.","Navi Mumbai, Bangalore/Bengaluru","['digital marketing', 'data studio', 'gtm', 'tagging', 'google tag manager', 'web technologies', 'android studio', 'google analytics']",5 DAYS AGO
