title,company,expirence,salary,location,skill,date
Artificial Intelligence Scientist,NEURALSIFT,1-3 Yrs,Not disclosed,Gurgaon,"['Python', 'ML', 'AI', 'IT Skills', 'Data Science', 'Computer science', 'deep learning', 'Biotechnology']",30+ DAYS AGO
Machine Learning/Artificial Intelligence,Maveric Systems Ltd,4-8 Yrs,Not disclosed,Chennai,"['machine learning', 'Azure', 'Mongo DB', 'Microsoft Azure bot', 'MYSQL', 'C#', 'NLP', 'Python']",30+ DAYS AGO
ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,Blocklogy Edutech,1-3 Yrs,Not disclosed,Mumbai,"['E-learning', 'C++', 'Coding', 'Artificial Intelligence', 'Machine learning', 'Pattern recognition', 'Open source', 'Data mining']",30+ DAYS AGO
"Assistant Professor -Artificial Intelligence, Machine Learning",Woxsen University,2-5 Yrs,Not disclosed,Hyderabad,"['Student counseling', 'Research Student', 'Publishing', 'Artificial Intelligence', 'Machine learning', 'Scheduling', 'Assistant Professor', 'Research']",30+ DAYS AGO
Lead - Artificial Intelligence & Machine Learning,Search Advisers Services ( GUJ ) Pvt. Ltd.,15-21 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Science', 'Artificial Intelligence', 'Machine Learning']",30 DAYS AGO
Lead - Artificial Intelligence & Machine Learning,Search Advisers Services ( GUJ ) Pvt. Ltd.,15-21 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Science', 'Artificial Intelligence', 'Machine Learning']",30 DAYS AGO
Chatbot Developer - Machine Learning/Artificial Intelligence,MY Search,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Google Dialog', 'NLP', 'ML', 'Twilio', 'AWS', 'GCP', 'Javascript', 'Node js']",18 DAYS AGO
Software Engineer / Team Lead Artificial Intelligence,Neilsoft Limited,7-10 Yrs,Not disclosed,Pune,"['C++', 'software engineering team lead', 'Artificial Intelligence', 'Machine learning', 'Agile', 'Data collection', 'Natural language processing', 'Apache']",30+ DAYS AGO
Data Science Manager- Artificial Intelligence,Spectral Consultants -Search and Recruitments Firm,9-14 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","['Big Data', 'Python', 'cloud', 'IT Skills', 'Azure Data Factory', 'Azure Active Directory', 'data science', 'Azure Data Lake']",20 DAYS AGO
Artificial Intelligence Engineer,Global Talent Pool,2-5 Yrs,Not disclosed,Bengaluru,"['rest', 'algorithms', 'Computer vision', 'deep learning', 'python', 'Image processing', 'Artificial Intelligence', 'Machine learning']",30+ DAYS AGO
Artificial Intelligence (AI) Software Engineer,FuGenX Technologies Private Limited.,2-4 Yrs,Not disclosed,Bengaluru,"['Business process', 'Solution architecture', 'Computer science', 'Call center operations', 'Artificial Intelligence', 'Javascript', 'Prototyping', 'Management']",30+ DAYS AGO
Senior Analyst-Artificial Intelligence Innovation,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Analyst', 'Publishing', 'Architecture', 'data science', 'Artificial Intelligence', 'Consulting', 'Client relationship', 'Research']",18 DAYS AGO
Artificial Intelligence (AI) Software Engineer,FuGenX Technologies Private Limited.,2-4 Yrs,Not disclosed,Bengaluru,"['Solution architecture', 'rest', 'c', 'code', 'technical', 'html5', 'Artificial Intelligence', 'developing']",30+ DAYS AGO
Senior Analyst-Artificial Intelligence Innovation,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'Cloud', 'Business administration', 'Publishing']",19 DAYS AGO
Artificial Intelligence Engineer,PLATFORM 3 TECHNOLOGIES PRIVATE LIMITED,3-6 Yrs,Not disclosed,"Chennai, Bengaluru","['machine learning', 'Tensorflow', 'LSTM', 'LSA', 'Keras', 'Micro web framework', 'AI', 'Flask']",30+ DAYS AGO
Senior Artificial Intelligence Architect - Autonomous Driving,Aptiv Technical Centre,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,"['Artificial Intelligence', 'Machine learning', 'Wellness', 'Archiving', 'Medical insurance', 'application architecture', 'Information technology', 'AWS']",30+ DAYS AGO
Team Lead/Consultant-Artificial Intelligence Innovation,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'Publishing', 'Architecture', 'management']",30+ DAYS AGO
Team Lead / Consultant - Artificial Intelligence Innovation,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,"['Artificial Intelligence', 'IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Consulting', 'Natural language processing', 'Analytics']",30+ DAYS AGO
Team Lead/Consultant-Artificial Intelligence Innovation,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,"['Artificial Intelligence', 'Machine Learning', 'Python Programming Language', 'Creative Solutions', 'Research Development', 'Python']",24 DAYS AGO
Director-Quant Analytics Machine Learning & Artificial Intelligence,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram,"['Artificial Intelligence', 'Machine Learning', 'communication', 'IT Skills', 'Quantitative Trading', 'HFT', 'Algorithmic Trading', 'Analytics']",16 DAYS AGO
Machine Learning/Artificial Intelligence Developer-R/Python/Tensorflow,L A Consultancy,1-3 Yrs,Not disclosed,"Mumbai, Pune, Chennai","['data architecture', 'Java', 'Python', 'AI', 'Keras', 'ML', 'TensorFlow', 'machine learning']",18 DAYS AGO
Director - Quant Analytics- Machine Learning & Artificial Intelligence,Huquo Consulting Pvt. Ltd,6-10 Yrs,Not disclosed,Gurgaon/Gurugram,"['communication', 'Machine Learning', 'IT Skills', 'Artificial Intelligence', 'strategy automation', 'Machine Learning', 'Data Analysis', 'order management']",18 DAYS AGO
Lead Artificial Intelligence,Ideapoke,10-12 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Cloud', 'Big Data', 'Computer science']",30+ DAYS AGO
Lead Artificial Intelligence Specialist,FabHotel Aay Kay Model Town,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'Mining', 'Computer vision', 'Root cause analysis', 'Time series analysis', 'Artificial Intelligence', 'TPS', 'Agile']",30+ DAYS AGO
Lead Artificial Intelligence Specialist,Baker Hughes,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'Mining', 'Computer vision', 'Root cause analysis', 'Time series analysis', 'Artificial Intelligence', 'TPS', 'Agile']",30+ DAYS AGO
Senior Engineer - Artificial Intelligence / Computer Vision,Successr HR Tech PVT LTD,3-7 Yrs,Not disclosed,Kanchipuram,"['Artificial Intelligence', 'Computer Vision', 'Machine Learning', 'CUDA programming', 'TensorFlow', 'GPU architecture', 'Deep Learning', 'Caffe']",30+ DAYS AGO
Senior Engineer/ Technical Lead Artificial Intelligence,Altimax Business Solutions,3-8 Yrs,Not disclosed,Chennai,"['C++', 'Machine Learning', 'Python', 'Tensorflow', 'CUDA', 'Artificial Intelligence', 'Hardware Architecture', 'Computer Vision']",30+ DAYS AGO
Python Engineer - Artificial intelligence/Django,Future India Services,3-7 Yrs,Not disclosed,"Noida, Mumbai, Hyderabad/Secunderabad, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru","['IT Skills', 'Python', 'Software Development', 'Data Science', 'ArcGIS', 'REST API', 'Django', 'Artificial Intelligence']",18 DAYS AGO
Analyst-Artificial Intelligence Innovation,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Analyst', 'Publishing', 'Architecture', 'data science', 'Artificial Intelligence', 'Consulting', 'Client relationship', 'Research']",30+ DAYS AGO
artificial intelligence specialist,Talent Zone Consultant,2-8 Yrs,Not disclosed,Bengaluru,"['Computer science', 'Solution architecture', 'Process design', 'Computer vision', 'Automation', 'NoSQL', 'RDBMS', 'Artificial Intelligence']",30+ DAYS AGO
